key,bucket,description
paper_triage,technique,"Sort, file, or discard paper systematically."
pcos,context,Hormonal condition; insulin and cycle considerations.
perfectionism,helps_with,Setting unrealistically high standards that impede action.
perimenopause,context,Transition phase; variable symptoms and sleep.
periodization,technique,Plan training phases for performance and recovery.
picky_family,helps_with,Family preferences make change difficult.
picky_family_context,context,Household preferences limit options.
plate_method,technique,Structure meals with balanced plate portions.
plateau,helps_with,Progress has stalled.
pomodoro,technique,"Focused intervals (e.g., 25/5) with short breaks."
poor_mobility,helps_with,Restricted joint movement.
poor_posture,helps_with,Posture issues causing discomfort or fatigue.
poor_sleep,helps_with,Unrefreshing or insufficient sleep.
portion_control,technique,Use portion sizes and plates/bowls to guide intake.
portion_size_issues,helps_with,Trouble serving or stopping at reasonable portions.
postpartum,context,After childbirth; recovery and sleep challenges.
posture_breaks,technique,Frequent breaks to reset posture.
pre_commitment,technique,"Commit in advance (preorder, prelog, prepack)."
prediabetes,context,Elevated blood sugar risk; focus on prevention.
pregnancy,context,Currently pregnant; prioritize safety and rest.
priority_triad,technique,Pick three Most Important Tasks (MITs).
procrastination,helps_with,Putting off tasks that matter.
progressive_muscle_relaxation,technique,Tense–release muscles to reduce arousal.
progressive_overload,technique,Gradually increase training load to improve.
protein_at_breakfast,technique,Prioritize protein in the first meal.
protein_first,technique,Start meals/snacks with protein sources.
racing_mind,helps_with,"Thoughts racing, hard to wind down."
random_cravings,helps_with,"Sudden, unexpected cravings."
reduce_added_sugar,goal,Cut added sugar in foods and drinks.
reduce_alcohol,technique,Cut back alcohol frequency or amount.
reduce_anxiety,goal,Lower day‑to‑day anxiety.
reduce_caffeine,goal,Limit caffeine to improve sleep or reduce jitters.
reduce_distractions,goal,Minimize interruptions and attention drains.
reduce_night_wakings,goal,Wake up less during the night.
reduce_refined_carbs,goal,Lower intake of refined starches and sugars.
reduce_saturated_fat,goal,Limit saturated fat intake.
reduce_sodium,goal,Lower dietary salt intake.
reduce_stress,goal,Lower overall stress levels.
reduce_ultra_processed_foods,goal,"Eat fewer ultra‑processed, convenience foods."
reflux,helps_with,Acid backing up into the esophagus.
relaxing_audio,technique,"Use calm sounds, music, or stories for sleep."
religious_fasting,context,Fasting days affect meals and energy.
reminder_cues,technique,"Set alarms, notes, or visual cues to prompt action."
retired,context,More flexible time; redefine routines.
reward_schedule,technique,Plan small rewards for hitting targets.
rigid_routines,helps_with,Overly strict plans that break under stress.
rpe_autoregulation,technique,Adjust effort based on perceived intensity (RPE).
rumination,helps_with,Stuck replaying worries or events.
salty_cravings,helps_with,Intense urges for salty foods.
scheduled_rest_days,technique,Plan rest days to recover and prevent burnout.
screen_dimming,technique,Dim screens and use filters at night.
screen_time_overuse,helps_with,Too much evening screen time.
self_compassion_break,technique,Brief practice of kindness toward yourself.
self_monitoring,technique,"Track behaviors or outcomes (food, steps, sleep)."
set_minimum_floor,technique,"Define the smallest acceptable version (e.g., 1 push‑up)."
shift_work,context,Rotating/night shifts disrupt rhythm and sleep.
shift_work_fatigue,helps_with,Fatigue from rotating or night shifts.
shoulder_pain,helps_with,Shoulder discomfort that limits activity.
single_parent,context,Solo caregiving; time is very limited.
single_tasking,technique,Work on one task at a time.
sit_less,technique,Reduce prolonged sitting time.
sleep_apnea,context,Breathing‑related sleep issues; fatigue risk.
sleep_disruption_from_training,helps_with,Training is interfering with sleep.
sleep_hygiene,technique,"Foundational sleep practices (light, noise, routine)."
slow_eating,technique,Eat more slowly to notice fullness cues.
smell_aversion,helps_with,Strong aversion to certain smells.
snack_attacks,helps_with,Sudden urges to snack.
snacking,helps_with,Frequent snacking that feels unhelpful.
social_eating_confidence,goal,Handle social meals without derailing goals.
social_pressure,helps_with,Others’ expectations push off‑track choices.
stay_hydrated,goal,Drink enough fluids to stay hydrated.
step_goal,technique,Daily step target to boost activity.
stimulus_control,technique,Use the bed only for sleep; leave if awake.
strength_training,technique,Use resistance to build strength and muscle.
stress,helps_with,High perceived stress level.
stress_eating,helps_with,Eating in response to stress.
stress_free_environment,goal,"Create calmer, lower‑stress spaces."
stress_headaches,helps_with,Headaches related to stress tension.
student_life,context,Student schedule and constraints.
sugar_addiction,helps_with,Feeling out of control around sugary foods.
supersets,technique,Alternate exercises back‑to‑back with little rest.
support_heart_health,goal,Protect cardiovascular health via diet and activity.
surface_clearing,technique,Keep counters and desks clear by default.
sweet_cravings,helps_with,Intense urges for sweet foods.
task_batching,technique,Group similar tasks to reduce switching costs.
task_overload,helps_with,Too many tasks compete for attention.
task_system_mastery,goal,Use a reliable personal task system.
tempo_training,technique,Control lifting speed for stimulus/technique.
temptation_bundling,technique,Pair a habit with something you enjoy.
tight_hamstrings,helps_with,Tight hamstrings limit movement.
tight_hips,helps_with,Tight hip muscles limit movement.
time_blocking,technique,Reserve calendar blocks for specific work.
time_boxed_sessions,technique,Fixed‑length sessions to fit busy days.
time_constraints,helps_with,Schedule limits habit time.
time_pressure,helps_with,Not enough time to prepare or exercise.
tiny_habits,technique,"Start with very small, easy versions of the habit."
too_many_goals,helps_with,Trying to change too many things at once.
too_many_tools,helps_with,Using too many apps/tools to manage work.
train_for_event,goal,Prepare and peak for an event or race.
travel,context,Frequent travel; routines need portability.
travel_challenges,helps_with,Travel makes routines hard to maintain.
travel_training_disruption,helps_with,Travel interrupts training routine.
two_minute_pickup,technique,Quick 2‑minute room tidy to reset.
unclear_priorities,helps_with,Not sure what truly matters first.
urge_surfing,technique,Ride out cravings without acting on them.
variable_routine,technique,Rotate habit options to reduce boredom.
vegan,context,No animal products; plan protein/B12/iron.
vegetarian,context,Does not eat meat; plan protein sources.
veggie_first,technique,Begin meals with vegetables or salads.
vision_setting,technique,Define how your space should look and feel.
visual_chaos,helps_with,Too much visual noise to focus.
visual_habit_tracker,technique,Mark off habits to visualize streaks/progress.
vomiting,helps_with,Throwing up food or liquids.
walk_after_meals,technique,Short post‑meal walks for glucose/comfort.
wearable_feedback,technique,Use wearables to guide training and recovery.
website_blockers,technique,Block distracting sites during focus times.
weekend_derailment,helps_with,Weekends disrupt weekday routines.
weekly_review,technique,Review commitments and plan the next week.
white_noise,technique,Steady noise to mask disruptions.
wind_down_routine,technique,Predictable pre‑bed relaxation routine.
work_from_home,context,Home office; boundaries and movement matter.
work_life_blur,helps_with,Work and personal time bleed together.
work_snacking,helps_with,Automatic snacking while working.
worry_journal,technique,Capture worries before bed to clear mind.
wrist_pain,helps_with,Wrist discomfort that limits activity.
zone2_cardio,technique,Easy–moderate cardio to build aerobic base.
zone_organizing,technique,Assign zones for specific items or tasks.
